Timestamp,Inference Step,CPU Usage (%),CPU Temp (°C)
2025-04-15 02:19:31,5,30.3,56.9
2025-04-15 02:19:36,10,24.0,56.9
2025-04-15 02:19:41,15,37.3,56.4
2025-04-15 02:19:47,20,25.9,57.5
2025-04-15 02:19:52,25,34.0,58.0
2025-04-15 02:19:57,30,29.3,56.9
2025-04-15 02:20:03,35,28.6,57.5
2025-04-15 02:20:08,40,21.3,56.9
2025-04-15 02:20:13,45,30.9,56.9
2025-04-15 02:20:18,50,26.3,58.0
2025-04-15 02:20:24,55,27.3,56.9
2025-04-15 02:20:29,60,23.0,58.0
2025-04-15 02:20:35,65,33.0,57.5
2025-04-15 02:20:40,70,17.8,58.0
2025-04-15 02:20:45,75,31.6,58.0
2025-04-15 02:20:51,80,28.3,56.9
2025-04-15 02:20:56,85,26.0,57.5
