Timestamp,Inference Step,CPU Usage (%),CPU Temp (°C)
2025-04-15 02:03:20,10,11.2,51.5
2025-04-15 02:03:25,20,9.6,52.6
2025-04-15 02:03:31,30,11.2,53.2
2025-04-15 02:03:36,40,10.3,53.7
2025-04-15 02:03:41,50,9.4,54.2
2025-04-15 02:03:47,60,11.3,54.8
2025-04-15 02:03:52,70,15.5,54.2
2025-04-15 02:03:57,80,11.5,54.2
2025-04-15 02:04:02,90,11.5,54.8
2025-04-15 02:04:07,100,9.6,55.8
2025-04-15 02:04:12,110,12.4,55.8
2025-04-15 02:04:18,120,10.3,55.8
2025-04-15 02:04:23,130,10.5,56.4
2025-04-15 02:04:28,140,9.5,56.9
2025-04-15 02:04:33,150,11.5,57.5
2025-04-15 02:04:39,160,10.4,56.9
2025-04-15 02:04:44,170,10.5,56.9
2025-04-15 02:04:49,180,14.4,57.5
2025-04-15 02:04:54,190,10.5,56.9
2025-04-15 02:04:59,200,12.2,57.5
2025-04-15 02:05:05,210,10.5,56.9
2025-04-15 02:05:10,220,10.5,58.5
2025-04-15 02:05:15,230,9.7,58.0
2025-04-15 02:05:20,240,10.6,58.5
2025-04-15 02:05:25,250,9.7,58.0
2025-04-15 02:05:31,260,9.7,58.5
2025-04-15 02:05:36,270,10.5,58.5
2025-04-15 02:05:41,280,10.8,59.1
2025-04-15 02:05:46,290,18.1,59.1
2025-04-15 02:05:52,300,9.6,58.5
2025-04-15 02:05:57,310,10.5,59.1
2025-04-15 02:06:02,320,9.7,59.1
2025-04-15 02:06:07,330,17.4,59.1
2025-04-15 02:06:12,340,9.6,59.1
2025-04-15 02:06:18,350,10.6,59.6
2025-04-15 02:06:23,360,12.5,60.1
2025-04-15 02:06:28,370,16.7,59.6
2025-04-15 02:06:33,380,8.8,59.1
2025-04-15 02:06:39,390,9.6,60.1
2025-04-15 02:06:44,400,9.7,59.6
2025-04-15 02:06:49,410,13.5,60.1
2025-04-15 02:06:54,420,9.7,60.1
2025-04-15 02:07:00,430,10.5,60.7
2025-04-15 02:07:05,440,14.3,60.1
2025-04-15 02:07:10,450,9.6,60.7
2025-04-15 02:07:15,460,10.6,60.1
2025-04-15 02:07:20,470,10.6,60.1
2025-04-15 02:07:26,480,10.5,60.1
2025-04-15 02:07:31,490,10.5,60.1
2025-04-15 02:07:36,500,11.5,60.7
2025-04-15 02:07:41,510,9.7,60.7
2025-04-15 02:07:46,520,10.6,61.2
2025-04-15 02:07:51,530,10.5,61.2
2025-04-15 02:07:57,540,9.7,61.2
2025-04-15 02:08:02,550,11.5,61.2
2025-04-15 02:08:07,560,14.7,61.2
2025-04-15 02:08:12,570,11.5,61.2
2025-04-15 02:08:18,580,10.6,61.8
2025-04-15 02:08:23,590,10.6,61.8
2025-04-15 02:08:28,600,9.6,61.2
2025-04-15 02:08:33,610,9.6,61.8
2025-04-15 02:08:38,620,10.6,61.2
2025-04-15 02:08:44,630,9.7,62.3
2025-04-15 02:08:49,640,10.5,62.3
2025-04-15 02:08:54,650,9.6,62.3
2025-04-15 02:09:00,660,9.6,62.3
